time,open,high,low,close,volume
2020-11-06 20:00:00,223.4,223.41,223.25,223.4,8786
2020-11-06 19:45:00,223.25,223.41,223.25,223.4,784
2020-11-06 19:30:00,223.41,223.46,223.26,223.26,3469
2020-11-06 19:15:00,223.37,223.37,223.37,223.37,414
2020-11-06 19:00:00,223.29,223.65,223.29,223.37,2074
2020-11-06 18:45:00,223.61,223.61,223.5,223.5,2170
2020-11-06 18:15:00,223.59,223.65,223.59,223.65,673
2020-11-06 18:00:00,223.58,223.58,223.58,223.58,334
2020-11-06 17:45:00,223.5716,223.6,223.5701,223.6,522
2020-11-06 17:30:00,223.75,223.9,223.7,223.9,1050
2020-11-06 17:15:00,223.75,223.9,223.75,223.8,43745
2020-11-06 17:00:00,223.7531,223.98,223.75,223.98,5314
2020-11-06 16:45:00,223.69,223.99,223.58,223.9353,7736
2020-11-06 16:30:00,223.72,223.72,223.57,223.57,20396
2020-11-06 16:15:00,223.72,223.82,223.5,223.7198,765781
2020-11-06 16:00:00,223.92,224.36,223.28,223.62,2315310
2020-11-06 15:45:00,223.36,223.99,223.28,223.94,814197
2020-11-06 15:30:00,223.23,223.5347,222.81,223.35,670732
2020-11-06 15:15:00,223.51,223.52,222.73,223.235,563155
2020-11-06 15:00:00,223.36,223.52,223.07,223.52,462923
2020-11-06 14:45:00,223.58,224.02,223.3,223.34,510690
2020-11-06 14:30:00,224.08,224.18,223.415,223.59,498760
2020-11-06 14:15:00,223.86,224.09,223.65,224.07,514339
2020-11-06 14:00:00,223.61,223.91,223.37,223.84,469194
2020-11-06 13:45:00,223.81,224.1,223.54,223.6,826588
2020-11-06 13:30:00,223.33,223.93,223.25,223.81,660636
2020-11-06 13:15:00,223.0,223.53,222.95,223.3202,431496
2020-11-06 13:00:00,222.85,223.14,222.44,222.98,398958
2020-11-06 12:45:00,222.25,222.9084,222.23,222.8498,529211
2020-11-06 12:30:00,222.82,222.89,222.22,222.25,539622
2020-11-06 12:15:00,222.6001,223.36,222.6001,222.81,670251
2020-11-06 12:00:00,222.75,223.1199,222.1,222.62,719344
2020-11-06 11:45:00,222.47,222.9695,222.3,222.76,575410
2020-11-06 11:30:00,221.71,222.48,221.38,222.48,651695
2020-11-06 11:15:00,220.59,222.0406,220.41,221.67,702917
2020-11-06 11:00:00,220.92,221.41,220.36,220.5473,710804
2020-11-06 10:45:00,220.69,221.08,220.41,220.925,757112
2020-11-06 10:30:00,219.68,220.97,219.53,220.7217,1057617
2020-11-06 10:15:00,218.585,219.89,218.08,219.7,1159394
2020-11-06 10:00:00,218.82,219.44,218.03,218.585,1538291
2020-11-06 09:45:00,222.26,222.29,218.52,218.85,2767814
2020-11-06 09:30:00,222.4,223.0,221.87,222.11,46282
2020-11-06 09:15:00,221.95,222.4,221.3,222.4,64888
2020-11-06 09:00:00,221.5,222.23,221.5,221.85,32621
2020-11-06 08:45:00,220.78,221.6,220.52,221.6,19440
2020-11-06 08:30:00,220.55,221.0,220.3,220.6,13877
2020-11-06 08:15:00,221.1944,221.58,220.0,220.57,48790
2020-11-06 08:00:00,220.5,220.5,220.2,220.3,34758
2020-11-06 07:45:00,220.73,220.73,220.27,220.3,8703
2020-11-06 07:30:00,220.98,220.98,220.4,220.59,9024
2020-11-06 07:15:00,220.74,221.48,220.6,221.0,17101
2020-11-06 07:00:00,220.88,220.94,220.6,220.86,1854
2020-11-06 06:45:00,220.65,220.8,220.65,220.78,422
2020-11-06 06:30:00,220.88,220.9,220.83,220.83,850
2020-11-06 06:15:00,220.97,220.97,220.97,220.97,200
2020-11-06 06:00:00,220.1,220.38,220.09,220.12,3268
2020-11-06 05:45:00,219.73,220.0,219.56,220.0,3281
2020-11-06 05:30:00,219.36,219.85,219.36,219.74,1899
2020-11-06 05:15:00,219.66,219.89,219.14,219.32,6577
2020-11-06 05:00:00,220.1,220.1,219.43,219.43,2772
2020-11-06 04:45:00,220.6,220.6,220.0,220.03,4321
2020-11-06 04:30:00,220.46,220.6,220.06,220.6,5731
2020-11-06 04:15:00,221.35,221.48,220.05,220.05,3261
2020-11-05 20:00:00,222.22,222.5,222.21,222.27,8282
2020-11-05 19:45:00,222.38,222.75,222.22,222.22,8060
2020-11-05 19:30:00,222.65,222.75,222.5,222.5,13295
2020-11-05 19:15:00,222.78,222.96,222.6,222.78,3867
2020-11-05 19:00:00,223.0,223.19,222.35,222.7,12871
2020-11-05 18:45:00,223.32,223.32,223.0,223.19,5743
2020-11-05 18:30:00,223.56,223.56,223.4,223.4,4130
2020-11-05 18:15:00,223.6,223.74,223.51,223.56,8905
2020-11-05 18:00:00,223.65,223.69,223.65,223.67,1316
2020-11-05 17:45:00,223.76,223.76,223.57,223.61,4970
2020-11-05 17:30:00,223.82,223.82,223.7,223.7,3990
2020-11-05 17:15:00,223.8001,223.86,223.8,223.8,3757
2020-11-05 17:00:00,223.84,223.86,223.7,223.8,49235
2020-11-05 16:45:00,223.77,223.97,223.67,223.89,26248
2020-11-05 16:30:00,223.29,223.98,223.2677,223.8,132558
2020-11-05 16:15:00,223.29,224.0,223.26,223.9,1436911
2020-11-05 16:00:00,222.48,223.77,222.01,223.29,2727317
2020-11-05 15:45:00,223.4,223.47,222.43,222.5,1174621
2020-11-05 15:30:00,223.2899,223.61,223.075,223.39,840071
2020-11-05 15:15:00,224.01,224.09,223.26,223.28,850474
2020-11-05 15:00:00,224.0482,224.12,223.465,224.01,765421
2020-11-05 14:45:00,223.75,224.0694,223.16,224.05,1164837
2020-11-05 14:30:00,223.43,223.79,223.3639,223.76,543436
2020-11-05 14:15:00,223.31,223.64,223.16,223.425,761289
2020-11-05 14:00:00,223.2682,223.48,223.09,223.285,699751
2020-11-05 13:45:00,222.97,223.28,222.72,223.26,636936
2020-11-05 13:30:00,223.06,223.21,222.82,222.9492,476255
2020-11-05 13:15:00,222.77,223.23,222.69,223.063,692476
2020-11-05 13:00:00,222.6,222.86,222.54,222.75,506570
2020-11-05 12:45:00,221.87,222.63,221.52,222.59,700591
2020-11-05 12:30:00,222.85,222.95,221.7201,221.85,893860
2020-11-05 12:15:00,221.99,222.92,221.95,222.835,893845
2020-11-05 12:00:00,222.09,222.57,221.78,221.98,852717
2020-11-05 11:45:00,222.73,223.0,222.02,222.09,740875
2020-11-05 11:30:00,222.74,222.95,222.31,222.73,683719
2020-11-05 11:15:00,223.22,223.34,222.16,222.75,957924
2020-11-05 11:00:00,222.46,223.2399,221.5,223.23,1286127
2020-11-05 10:45:00,222.38,223.0,222.1211,222.425,1320999
2020-11-05 10:30:00,223.34,223.99,222.19,222.34,2216447
2020-11-05 10:15:00,222.84,224.0,222.78,223.31,1684974
2020-11-05 10:00:00,222.12,223.6,221.96,222.85,1993941
2020-11-05 09:45:00,222.04,223.28,221.15,222.1,4216243
2020-11-05 09:30:00,221.5,222.0,221.31,221.98,40015
2020-11-05 09:15:00,221.95,222.0,221.2021,221.55,83557
2020-11-05 09:00:00,222.25,222.33,221.9998,221.9998,62234
2020-11-05 08:45:00,222.11,222.35,221.9535,222.28,56257
2020-11-05 08:30:00,222.28,222.4,222.0,222.19,28013
2020-11-05 08:15:00,222.1501,222.8,221.5,222.28,93311
2020-11-05 08:00:00,222.27,222.4,221.61,222.26,30981
2020-11-05 07:45:00,222.2,222.5,222.01,222.2,21831
2020-11-05 07:30:00,222.13,222.9,221.9,222.2,46756
2020-11-05 07:15:00,222.04,222.3,221.5,222.12,65227
2020-11-05 07:00:00,222.01,222.43,222.0,222.04,5034
2020-11-05 06:45:00,222.4,222.5,221.88,221.88,4723
2020-11-05 06:30:00,222.67,222.86,222.39,222.5,9395
2020-11-05 06:15:00,222.51,222.51,221.79,222.22,30556
2020-11-05 06:00:00,222.41,222.5,222.0,222.5,17270
2020-11-05 05:45:00,222.51,222.89,222.4,222.83,5646
2020-11-05 05:30:00,222.6,223.49,222.52,222.68,6351
2020-11-05 05:15:00,222.47,222.95,222.4,222.52,4692
2020-11-05 05:00:00,222.03,222.03,222.03,222.03,210
2020-11-05 04:45:00,221.9,222.28,221.85,222.28,4174
2020-11-05 04:30:00,221.28,221.99,221.28,221.99,4947
2020-11-05 04:15:00,220.63,221.88,220.63,221.29,15279
2020-11-04 20:00:00,217.69,217.79,216.9999,217.0,6271
2020-11-04 19:45:00,217.45,217.65,217.25,217.65,4415
2020-11-04 19:30:00,216.95,217.38,216.95,217.38,2933
2020-11-04 19:15:00,217.24,217.54,216.82,217.0,5384
2020-11-04 19:00:00,216.73,217.84,216.52,217.84,6178
2020-11-04 18:45:00,218.0,218.0,216.64,216.8,12676
2020-11-04 18:30:00,217.35,218.1,217.35,217.9,16742
2020-11-04 18:15:00,217.51,217.51,217.15,217.4,7353
2020-11-04 18:00:00,217.43,217.6,217.43,217.6,2696
2020-11-04 17:45:00,217.35,217.51,217.32,217.44,2587
2020-11-04 17:30:00,217.62,217.75,217.4,217.4,5014
2020-11-04 17:15:00,217.04,217.8,216.92,217.78,16703
2020-11-04 17:00:00,217.15,217.42,216.8,216.9,224132
2020-11-04 16:45:00,216.6,217.35,216.39,217.0,72695
2020-11-04 16:30:00,216.3901,216.6,216.3684,216.45,41328
2020-11-04 16:15:00,216.39,216.7,216.13,216.57,1001852
2020-11-04 16:00:00,216.41,217.45,215.87,216.32,3347402
2020-11-04 15:45:00,216.56,216.95,216.2,216.445,1161619
2020-11-04 15:30:00,216.9,217.07,216.3,216.56,1147509
2020-11-04 15:15:00,217.04,217.44,216.42,216.9211,968807
2020-11-04 15:00:00,216.425,217.25,216.395,216.9842,716028
2020-11-04 14:45:00,216.88,217.04,216.1,216.43,806932
2020-11-04 14:30:00,217.35,217.4,216.68,216.87,900891
2020-11-04 14:15:00,217.21,217.67,216.87,217.34,824757
2020-11-04 14:00:00,216.78,217.37,216.64,217.17,752139
2020-11-04 13:45:00,217.22,218.0,216.5401,216.75,1013370
2020-11-04 13:30:00,217.35,217.65,216.67,217.2,978296
2020-11-04 13:15:00,217.61,217.85,216.87,217.34,890661
2020-11-04 13:00:00,218.22,218.32,217.45,217.588,894948
2020-11-04 12:45:00,217.61,218.28,217.61,218.1806,1217765
2020-11-04 12:30:00,217.05,217.85,216.955,217.61,1153013
2020-11-04 12:15:00,217.27,217.4,216.64,217.03,1209869
2020-11-04 12:00:00,216.95,217.42,216.5701,217.27,1109907
2020-11-04 11:45:00,216.7,217.37,216.63,216.94,1048041
2020-11-04 11:30:00,216.08,217.14,215.69,216.69,1350837
2020-11-04 11:15:00,216.48,216.88,215.9,216.08,1341756
2020-11-04 11:00:00,215.1,216.535,215.09,216.48,1238923
2020-11-04 10:45:00,215.63,216.0,214.97,215.083,1325339
2020-11-04 10:30:00,215.34,216.44,215.14,215.625,2098743
2020-11-04 10:15:00,213.75,215.55,213.53,215.33,2279129
2020-11-04 10:00:00,213.67,213.86,212.44,213.75,1854682
2020-11-04 09:45:00,214.02,215.13,212.4185,213.645,4045144
2020-11-04 09:30:00,213.99,214.74,213.4,214.05,134949
2020-11-04 09:15:00,214.85,214.8841,213.5,213.9,134255
2020-11-04 09:00:00,214.41,215.5,214.2,214.8,117368
2020-11-04 08:45:00,215.25,215.35,214.36,214.5,65320
2020-11-04 08:30:00,214.4001,215.88,214.0,215.39,117943
2020-11-04 08:15:00,214.5,215.51,210.75,214.46,227504
2020-11-04 08:00:00,213.03,214.51,212.71,214.51,109721
2020-11-04 07:45:00,212.39,213.91,211.75,213.25,72480
2020-11-04 07:30:00,212.02,212.72,212.0,212.32,31305
2020-11-04 07:15:00,211.45,212.4,210.75,212.4,71006
2020-11-04 07:00:00,212.06,212.5,211.77,212.09,7209
2020-11-04 06:45:00,210.7,212.1,210.4,212.1,15823
2020-11-04 06:30:00,211.44,211.61,210.17,210.17,5294
2020-11-04 06:15:00,211.34,211.78,211.0,211.74,5538
2020-11-04 06:00:00,210.58,212.29,210.43,212.1,6570
2020-11-04 05:45:00,211.01,211.01,210.0,210.39,7410
2020-11-04 05:30:00,212.0,212.02,210.82,210.82,8394
2020-11-04 05:15:00,212.32,212.7,212.0,212.0,6253
2020-11-04 05:00:00,212.71,213.1,212.71,213.0,6125
2020-11-04 04:45:00,213.25,214.18,212.13,212.8,18857
2020-11-04 04:30:00,211.75,213.45,211.75,213.45,21937
2020-11-04 04:15:00,210.6,212.0,210.6,211.79,18074
2020-11-03 20:00:00,206.7,207.2,206.0,206.0,21537
2020-11-03 19:45:00,207.23,207.5,206.9999,206.9999,7409
2020-11-03 19:30:00,207.4,207.5,207.0,207.5,3563
2020-11-03 19:15:00,207.1,207.65,206.4,207.65,7459
2020-11-03 19:00:00,207.65,208.0,207.16,207.16,10957
2020-11-03 18:45:00,207.37,207.9,207.37,207.86,12953
2020-11-03 18:30:00,207.09,207.86,207.03,207.38,5890
2020-11-03 18:15:00,206.41,207.0,206.2,207.0,8576
2020-11-03 18:00:00,206.12,206.25,206.12,206.23,4710
2020-11-03 17:45:00,206.09,206.25,206.0004,206.25,3308
2020-11-03 17:30:00,206.018,206.1,205.9498,206.07,7438
2020-11-03 17:15:00,206.14,206.15,206.0,206.14,1556
2020-11-03 17:00:00,205.9,206.2,205.8,206.05,3122
2020-11-03 16:45:00,205.9998,206.0,205.72,205.9,7711
2020-11-03 16:30:00,206.09,206.4506,205.92,205.92,451984
2020-11-03 16:15:00,206.43,206.44,205.56,206.06,1202745
2020-11-03 16:00:00,207.33,208.0,206.08,206.12,2699754
2020-11-03 15:45:00,206.9,208.0,206.73,207.33,1587683
2020-11-03 15:30:00,205.9,207.0,205.81,206.91,939975
2020-11-03 15:15:00,206.43,206.5079,205.69,205.9,720119
2020-11-03 15:00:00,206.38,206.57,206.19,206.43,524569
2020-11-03 14:45:00,205.7,206.5,205.5038,206.39,591574
2020-11-03 14:30:00,205.82,206.15,205.57,205.7,547588
2020-11-03 14:15:00,205.29,206.0,205.17,205.8234,574726
2020-11-03 14:00:00,206.5641,206.61,205.11,205.29,634984
2020-11-03 13:45:00,206.51,206.75,206.09,206.5715,485621
2020-11-03 13:30:00,206.59,206.6,206.26,206.51,443819
2020-11-03 13:15:00,207.04,207.46,206.55,206.59,528519
2020-11-03 13:00:00,207.23,207.38,206.78,207.045,466936
2020-11-03 12:45:00,207.4,207.45,207.165,207.22,447558
2020-11-03 12:30:00,206.98,207.49,206.87,207.41,439912
2020-11-03 12:15:00,207.46,207.64,206.65,206.99,636634
2020-11-03 12:00:00,207.85,207.9,207.21,207.44,794182
2020-11-03 11:45:00,207.69,208.06,207.58,207.83,639789
2020-11-03 11:30:00,207.43,208.0,207.073,207.65,800138
2020-11-03 11:15:00,207.89,208.12,207.2672,207.4,772638
2020-11-03 11:00:00,206.77,207.95,206.65,207.88,845775
2020-11-03 10:45:00,207.62,207.92,206.64,206.77,1060821
2020-11-03 10:30:00,206.41,207.93,206.38,207.619,1531383
2020-11-03 10:15:00,205.39,206.44,205.18,206.405,1311836
2020-11-03 10:00:00,203.81,205.395,203.52,205.35,1241004
