time,open,high,low,close,volume
2020-10-09 20:00:00,215.55,215.7401,215.55,215.71,5417
2020-10-09 19:45:00,215.51,215.55,215.5,215.55,1679
2020-10-09 19:30:00,215.56,215.56,215.5,215.51,2566
2020-10-09 19:15:00,215.5,215.6,215.5,215.51,3077
2020-10-09 19:00:00,215.43,215.45,215.33,215.45,1038
2020-10-09 18:45:00,215.59,215.61,215.3,215.35,11326
2020-10-09 18:30:00,215.53,215.61,215.49,215.61,2780
2020-10-09 18:15:00,215.63,215.63,215.51,215.61,5712
2020-10-09 18:00:00,215.98,215.98,215.79,215.81,5685
2020-10-09 17:45:00,215.99,216.0,215.99,216.0,3228
2020-10-09 17:30:00,215.98,216.0,215.87,215.93,8505
2020-10-09 17:15:00,215.95,215.98,215.87,215.98,3488
2020-10-09 17:00:00,215.83,215.97,215.81,215.97,31174
2020-10-09 16:45:00,215.78,215.9799,215.73,215.9799,24390
2020-10-09 16:30:00,215.76,215.81,215.68,215.73,42586
2020-10-09 16:15:00,215.81,215.81,212.431,215.73,499777
2020-10-09 16:00:00,215.42,215.86,215.26,215.81,2344500
2020-10-09 15:45:00,215.44,215.5,215.03,215.43,1004250
2020-10-09 15:30:00,215.04,215.48,215.02,215.45,711233
2020-10-09 15:15:00,214.71,215.05,214.59,215.05,576888
2020-10-09 15:00:00,214.93,214.94,214.57,214.73,398719
2020-10-09 14:45:00,214.62,214.939,214.35,214.9299,527522
2020-10-09 14:30:00,214.9598,215.04,214.46,214.6167,587486
2020-10-09 14:15:00,215.09,215.45,214.71,214.96,824145
2020-10-09 14:00:00,214.51,215.13,214.495,215.1,866383
2020-10-09 13:45:00,214.64,214.71,214.38,214.51,534716
2020-10-09 13:30:00,215.06,215.12,214.57,214.63,627684
2020-10-09 13:15:00,214.895,215.45,214.895,215.04,811814
2020-10-09 13:00:00,214.85,214.94,214.65,214.9055,575338
2020-10-09 12:45:00,214.33,215.15,214.32,214.832,1144201
2020-10-09 12:30:00,214.62,214.76,213.66,214.34,868860
2020-10-09 12:15:00,214.235,214.65,214.12,214.65,559062
2020-10-09 12:00:00,213.925,214.68,213.91,214.29,1176185
2020-10-09 11:45:00,213.975,214.44,213.8,213.92,1122313
2020-10-09 11:30:00,213.81,213.98,213.61,213.9779,582644
2020-10-09 11:15:00,213.56,213.93,213.4,213.815,708599
2020-10-09 11:00:00,213.35,213.825,213.28,213.56,729848
2020-10-09 10:45:00,213.6021,213.79,213.27,213.33,889768
2020-10-09 10:30:00,213.03,213.63,212.73,213.615,1059034
2020-10-09 10:15:00,212.38,213.155,212.29,213.02,1063287
2020-10-09 10:00:00,212.695,212.87,212.325,212.38,991823
2020-10-09 09:45:00,211.23,212.84,211.23,212.6926,1867933
2020-10-09 09:30:00,211.8,211.95,211.12,211.12,16111
2020-10-09 09:15:00,211.8679,211.9,211.6,211.9,10386
2020-10-09 09:00:00,211.5,211.86,211.5,211.85,13972
2020-10-09 08:45:00,211.27,211.487,211.217,211.487,5347
2020-10-09 08:30:00,211.25,211.39,211.0,211.15,7108
